
关于2019年暑期研究生使用实验室的通知,发布者：郑振东,发布时间：2019-06-17,浏览次数：510
关于开展学院文化标语征集活动的通知,发布者：郑振东,发布时间：2019-09-29,浏览次数：410
信息与机电工程学院2020年本科转专业考试安排,发布者：郑振东,发布时间：2020-08-21,浏览次数：898
信息与机电工程学院ACM集训队招新通知,发布者：郑振东,发布时间：2020-10-20,浏览次数：760
人工智能STEM教育研究中心招新,发布者：郑振东,发布时间：2020-10-23,浏览次数：1667
2021年度院级大学生创新创业训练计划项目申报通知,发布者：郑振东,发布时间：2020-11-07,浏览次数：4601
【通知】关于报名参加CCF CSP认证的通知,发布者：郑振东,发布时间：2020-11-18,浏览次数：696
【通知】第二届“永达杯”汽车服务技能大赛报名通知,发布者：信机学院网站管理员,发布时间：2020-12-02,浏览次数：371
【通知】ICPC训练联盟2021寒假冬令营第一阶段报名,发布者：郑振东,发布时间：2020-12-24,浏览次数：24013
【通知】第十二届蓝桥杯大赛个人赛（软件类）报名,发布者：郑振东,发布时间：2020-12-30,浏览次数：1496
关于开设跨校、跨区域课程《数据结构编程实践》的通知,发布者：郑振东,发布时间：2021-03-09,浏览次数：2483
【通知】关于报名参加CCF CSP认证的通知,发布者：郑振东,发布时间：2021-03-13,浏览次数：506
第十三届蓝桥杯大赛个人赛（软件类）报名及校内模拟赛通知,发布者：信机学院网站管理员,发布时间：2021-11-24,浏览次数：10
2022年度大学生创新创业训练计划启动通知,发布者：信机学院网站管理员,发布时间：2021-11-30,浏览次数：10
关于开展Coursera在线体验课程学习的通知,发布者：信机学院网站管理员,发布时间：2022-03-11,浏览次数：11
关于2020年暑期安排的通知,发布者：,发布时间：2020-06-24,浏览次数：15489
第五届“永达杯”智能小车竞赛报名通知,发布者：信机学院网站管理员,发布时间：2022-05-14,浏览次数：99
关于报名参加第27次CCF CSP认证的通知,发布者：信机学院网站管理员,发布时间：2022-09-05,浏览次数：10
第十四届蓝桥杯大赛个人赛（软件类）报名通知,发布者：信机学院网站管理员,发布时间：2022-11-14,浏览次数：10
2023年度大学生创新创业训练计划启动通知,发布者：信机学院网站管理员,发布时间：2022-11-24,浏览次数：10
关于评选2022年“人工智能+教育”类相关奖教金的通知,发布者：信机学院网站管理员,发布时间：2022-12-04,浏览次数：69
关于评选2022年上海师范大学（永达）优秀教师贡献奖的通知,发布者：信机学院网站管理员,发布时间：2022-12-13,浏览次数：10
2022年上海师范大学（永达）优秀教师贡献奖拟获奖名单公示,发布者：信机学院网站管理员,发布时间：2022-12-19,浏览次数：22
第四届“永达杯”汽车服务技能大赛报名通知,发布者：信机学院网站管理员,发布时间：2023-03-04,浏览次数：135
【公示】信息与机电工程学院2023年市级、校级  本科优秀毕业生拟推荐候选人名单公示,发布者：信机学工,发布时间：2023-03-14,浏览次数：17
【招聘】上海师大信机学院德语外教招聘启事,发布者：信机学院网站管理员,发布时间：2021-04-12,浏览次数：122
上海师大开展“永远跟党走”红色原创作品征集活动通知,发布者：信机学院网站管理员,发布时间：2021-04-22,浏览次数：12
【通知】第四届信机学院“永达杯”智能小车竞赛的通知,发布者：信机学院网站管理员,发布时间：2021-06-04,浏览次数：10
信息与机电工程学院部分管理岗位聘任公告,发布者：信机学院网站管理员,发布时间：2021-06-07,浏览次数：10
乐享编程暑期学校开学咯！！,发布者：信机学院网站管理员,发布时间：2021-07-02,浏览次数：867
学院关于2022年推荐毕业生免试攻读硕士研究生实施方案,发布者：信机学院网站管理员,发布时间：2021-09-13,浏览次数：1990
关于2021年上海市“创造杯”大赛的通知,发布者：信机学院网站管理员,发布时间：2021-09-14,浏览次数：10
中共上海师范大学委员会关于对信息与机电工程学院党委开展巡察的公告,发布者：信机学院网站管理员,发布时间：2021-09-22,浏览次数：10
信息与机电工程学院兼职行政助理遴选公告,发布者：信机学院网站管理员,发布时间：2021-10-11,浏览次数：307
第三届“永达杯”汽车服务技能大赛报名通知,发布者：信机学院网站管理员,发布时间：2021-10-12,浏览次数：10
“云知声”杯第1届ICPC青少年程序设计竞赛报名通知,发布者：信机学院网站管理员,发布时间：2021-11-03,浏览次数：4856
